Rider,Jersey Number,Team,Category,PCS 2026,PCS 12 Months,Wins 2026,Value,Tier,Price,PCS Rank,PCS Link
🇦🇺 C. HARPER,173,Pinarello-Q.36.5 Pro Cycling Team,Climbers,289,294,0,29.0,Good,10,,https://www.procyclingstats.com/rider/chris-harper
🇩🇪 G. ZIMMERMANN,158,Lotto Intermarché,Climbers,302,307,1,28.9,Good,11,,https://www.procyclingstats.com/rider/georg-zimmermann
🇧🇪 T. MERLIER,91,Soudal Quick-Step,Sprinters,413,889,7,28.7,Good,23,62.0,https://www.procyclingstats.com/rider/tim-merlier
🇧🇪 E. VERSTRYNGE,108,Alpecin-Premier Tech,All-rounders,251,276,0,28.4,Good,9,,https://www.procyclingstats.com/rider/emiel-verstrynge
🇺🇸 B. MCNULTY,4,UAE Team Emirates XRG,Climbers,268,1199,0,28.4,Good,16,,https://www.procyclingstats.com/rider/brandon-mcnulty
🇳🇱 F. BIESTERBOS,212,Team Picnic PostNL,All-rounders,249,271,0,28.2,Good,9,,https://www.procyclingstats.com/rider/frits-biesterbos
🇧🇪 C. UIJTDEBROEKS,141,Movistar Team,Leaders,339,862,0,27.7,Good,16,89.0,https://www.procyclingstats.com/rider/cian-uijtdebroeks
🇬🇧 L. ASKEY,132,NSN Cycling Team,All-rounders,351,390,0,27.6,Good,13,84.0,https://www.procyclingstats.com/rider/lewis-askey
🇧🇪 Q. HERMANS,174,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,258,482,0,27.5,Good,11,,https://www.procyclingstats.com/rider/quinten-hermans
🇬🇧 A. YATES,8,UAE Team Emirates XRG,Leaders,390,817,2,27.5,Good,19,71.0,https://www.procyclingstats.com/rider/adam-yates
🇳🇴 J. ABRAHAMSEN,122,Uno-X Mobility,All-rounders,267,582,0,27.5,Good,12,,https://www.procyclingstats.com/rider/jonas-abrahamsen
